accident_id,date,time,day_of_week,is_weekend,hour,location_name,latitude,longitude,elevation_m,vehicle_type,num_vehicles,accident_type,driver_age,driver_gender,driving_exp_yrs,estimated_speed_kmh,speed_limit_kmh,speeding,weather_condition,precipitation_mm,temp_avg_c,visibility_km,wind_speed_kmh,pressure_hpa,road_curvature,road_slope_deg,surface_condition,severity,injuries,fatalities,risk_score,reporting_officer,terrain,is_wet_road,risk_probability,description,wx_tavg,wx_tmin,wx_tmax,wx_prcp,wx_wspd,wx_pres,month,wx_temp_range,wx_is_rainy,wx_heavy_rain,wx_rain_cat,wx_rain_3day,wx_pressure_drop
KDG-0011,2021-02-04,15:58:20,Thursday,0,15,Mawanella Area,7.249419,80.446549,470,lorry,1,mechanical_error,40,male,14,53,50,1,clear,0.0,27.0,8.0,12.0,1011.0,straight,1.0,dry,low,0,0,3,SLP-1010,Flat Urban / Town Center,0,0.32,Lorry involved in Mechanical Error incident at Mawanella Area,27.0,22.646875,32.03125,0.0,12.0,1011.0,2,9.4,0,0,none,2.0,0.0
KDG-0012,2021-03-11,7:05:44,Thursday,0,7,Upper Kadugannawa Pass,7.250808,80.509747,620,car,1,slipped,36,male,11,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,13.0,wet,low,0,0,7,SLP-1011,Hairpin Bends / Steep Gradient,1,0.72,Car involved in Slipped incident at Upper Kadugannawa Pass,26.0,22.985714285714284,34.25476190476191,2.0,15.0,1009.0,3,11.3,1,0,light,2.0,-2.0
KDG-0013,2021-03-11,7:05:44,Thursday,0,7,Upper Kadugannawa Pass,7.251842,80.500366,620,motorcycle,1,overtaking,27,male,5,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,13.0,dry,low,0,0,5,SLP-1012,Hairpin Bends / Steep Gradient,0,0.48,Motorcycle involved in Overtaking incident at Upper Kadugannawa Pass,27.0,22.985714285714284,34.25476190476191,0.0,12.0,1011.0,3,11.3,0,0,none,2.0,2.0
KDG-0016,2021-03-31,18:50:49,Wednesday,0,18,Hingula / Ganethenna,7.253715,80.47585,520,motorcycle,1,slipped,27,male,5,52,60,0,light_rain,2.0,26.0,4.0,15.0,1009.0,mild,7.0,wet,high,2,1,6,SLP-1015,Moderate Bends / Slope,1,0.6,Motorcycle involved in Slipped incident at Hingula / Ganethenna,26.0,22.985714285714284,34.25476190476191,2.0,15.0,1009.0,3,11.3,1,0,light,4.0,-2.0
KDG-0014,2021-03-31,18:50:49,Wednesday,0,18,Upper Kadugannawa Pass,7.25628,80.505703,620,motorcycle,1,slipped,27,male,5,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,13.0,wet,high,2,1,7,SLP-1013,Hairpin Bends / Steep Gradient,1,0.72,Motorcycle involved in Slipped incident at Upper Kadugannawa Pass,26.0,22.985714285714284,34.25476190476191,2.0,15.0,1009.0,3,11.3,1,0,light,4.0,0.0
KDG-0017,2021-03-31,18:50:49,Wednesday,0,18,Mawanella Area,7.253386,80.461158,470,motorcycle,1,excessive_speed,27,male,5,68,50,1,light_rain,2.0,26.0,4.0,15.0,1009.0,straight,1.0,wet,high,2,1,6,SLP-1016,Flat Urban / Town Center,1,0.64,Motorcycle involved in Excessive Speed incident at Mawanella Area,26.0,22.985714285714284,34.25476190476191,2.0,15.0,1009.0,3,11.3,1,0,light,4.0,0.0
KDG-0018,2021-03-31,18:50:49,Wednesday,0,18,Mawanella Area,7.24881,80.446059,470,motorcycle,1,slipped,27,male,5,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,straight,1.0,wet,high,2,1,5,SLP-1017,Flat Urban / Town Center,1,0.48,Motorcycle involved in Slipped incident at Mawanella Area,26.0,22.985714285714284,34.25476190476191,2.0,15.0,1009.0,3,11.3,1,0,light,4.0,0.0
KDG-0015,2021-03-31,18:50:49,Wednesday,0,18,Pahala Kadugannawa (Lower Pass),7.25451,80.490333,560,motorcycle,1,excessive_speed,27,male,5,68,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,11.0,dry,medium,1,0,7,SLP-1014,Steep Winding Road,0,0.66,Motorcycle involved in Excessive Speed incident at Pahala Kadugannawa (Lower Pass),27.0,22.985714285714284,34.25476190476191,0.0,12.0,1011.0,3,11.3,0,0,none,4.0,2.0
KDG-0019,2021-04-14,18:59:12,Wednesday,0,18,Upper Kadugannawa Pass,7.252923,80.513076,620,motorcycle,1,slipped,27,male,5,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,13.0,wet,low,0,0,7,SLP-1018,Hairpin Bends / Steep Gradient,1,0.72,Motorcycle involved in Slipped incident at Upper Kadugannawa Pass,26.0,23.985714285714284,33.99047619047619,2.0,15.0,1009.0,4,10.0,1,0,light,6.0,-2.0
KDG-0020,2021-05-06,16:09:08,Thursday,0,16,Pahala Kadugannawa (Lower Pass),7.250325,80.486896,560,motorcycle,1,slipped,27,male,5,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,11.0,wet,high,2,1,7,SLP-1019,Steep Winding Road,1,0.66,Motorcycle involved in Slipped incident at Pahala Kadugannawa (Lower Pass),26.0,23.703225806451613,31.01290322580645,2.0,15.0,1009.0,5,7.3,1,0,light,6.0,0.0
KDG-0021,2021-05-06,16:09:08,Thursday,0,16,Hingula / Ganethenna,7.248358,80.472395,520,motorcycle,1,slipped,27,male,5,52,60,0,light_rain,2.0,26.0,4.0,15.0,1009.0,mild,7.0,wet,high,2,1,6,SLP-1020,Moderate Bends / Slope,1,0.6,Motorcycle involved in Slipped incident at Hingula / Ganethenna,26.0,23.703225806451613,31.01290322580645,2.0,15.0,1009.0,5,7.3,1,0,light,6.0,0.0
KDG-0022,2021-05-06,16:09:08,Thursday,0,16,Mawanella Area,7.248866,80.457497,470,motorcycle,1,overtaking,27,male,5,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,straight,1.0,dry,high,2,1,3,SLP-1021,Flat Urban / Town Center,0,0.32,Motorcycle involved in Overtaking incident at Mawanella Area,27.0,23.703225806451613,31.01290322580645,0.0,12.0,1011.0,5,7.3,0,0,none,4.0,2.0
KDG-0023,2021-05-29,19:35:10,Saturday,1,19,Pahala Kadugannawa (Lower Pass),7.247659,80.495919,560,bus,1,overtaking,43,male,16,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,11.0,dry,low,0,0,4,SLP-1022,Steep Winding Road,0,0.44,Bus involved in Overtaking incident at Pahala Kadugannawa (Lower Pass),27.0,23.703225806451613,31.01290322580645,0.0,12.0,1011.0,5,7.3,0,0,none,2.0,0.0
KDG-0024,2021-05-29,19:35:10,Saturday,1,19,Hingula / Ganethenna,7.248911,80.481358,520,bus,1,slipped,43,male,16,52,60,0,light_rain,2.0,26.0,4.0,15.0,1009.0,mild,7.0,wet,low,0,0,6,SLP-1023,Moderate Bends / Slope,1,0.6,Bus involved in Slipped incident at Hingula / Ganethenna,26.0,23.703225806451613,31.01290322580645,2.0,15.0,1009.0,5,7.3,1,0,light,2.0,-2.0
KDG-0025,2021-05-29,19:35:10,Saturday,1,19,Hingula / Ganethenna,7.250352,80.466795,520,bus,1,overtaking,43,male,16,68,60,1,clear,0.0,27.0,8.0,12.0,1011.0,mild,7.0,dry,low,0,0,4,SLP-1024,Moderate Bends / Slope,0,0.4,Bus involved in Overtaking incident at Hingula / Ganethenna,27.0,23.703225806451613,31.01290322580645,0.0,12.0,1011.0,5,7.3,0,0,none,2.0,2.0
KDG-0026,2021-05-29,19:35:10,Saturday,1,19,Mawanella Area,7.253754,80.451717,470,bus,1,overtaking,43,male,16,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,straight,1.0,dry,low,0,0,3,SLP-1025,Flat Urban / Town Center,0,0.32,Bus involved in Overtaking incident at Mawanella Area,27.0,23.703225806451613,31.01290322580645,0.0,12.0,1011.0,5,7.3,0,0,none,2.0,0.0
KDG-0027,2021-08-20,8:24:26,Friday,0,8,Upper Kadugannawa Pass,7.259972,80.517377,620,motorcycle,1,slipped,27,male,5,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,13.0,wet,medium,1,0,7,SLP-1026,Hairpin Bends / Steep Gradient,1,0.72,Motorcycle involved in Slipped incident at Upper Kadugannawa Pass,26.0,23.568,31.052,2.0,15.0,1009.0,8,7.5,1,0,light,2.0,-2.0
KDG-0030,2021-11-02,17:28:44,Tuesday,0,17,Hingula / Ganethenna,7.247348,80.484924,520,motorcycle,1,excessive_speed,27,male,5,78,60,1,clear,0.0,27.0,8.0,12.0,1011.0,mild,7.0,dry,medium,1,0,6,SLP-1029,Moderate Bends / Slope,0,0.6,Motorcycle involved in Excessive Speed incident at Hingula / Ganethenna,27.0,22.708571428571428,30.02285714285714,0.0,12.0,1011.0,11,7.3,0,0,none,0.0,2.0
KDG-0028,2021-11-02,7:37:37,Tuesday,0,7,Upper Kadugannawa Pass,7.25633,80.502931,620,pick-up,1,animal_crossing,35,male,10,50,50,0,clear,0.0,27.0,8.0,12.0,1011.0,sharp,13.0,dry,medium,1,0,5,SLP-1027,Hairpin Bends / Steep Gradient,0,0.48,Pick-up involved in Animal Crossing incident at Upper Kadugannawa Pass,27.0,22.708571428571428,30.02285714285714,0.0,12.0,1011.0,11,7.3,0,0,none,0.0,0.0
KDG-0031,2021-11-02,17:28:44,Tuesday,0,17,Hingula / Ganethenna,7.246537,80.470395,520,motorcycle,1,overtaking,27,male,5,68,60,1,clear,0.0,27.0,8.0,12.0,1011.0,mild,7.0,dry,medium,1,0,4,SLP-1030,Moderate Bends / Slope,0,0.4,Motorcycle involved in Overtaking incident at Hingula / Ganethenna,27.0,22.708571428571428,30.02285714285714,0.0,12.0,1011.0,11,7.3,0,0,none,2.0,0.0
KDG-0032,2021-11-02,17:28:44,Tuesday,0,17,Mawanella Area,7.249445,80.455331,470,motorcycle,1,overtaking,27,male,5,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,straight,1.0,dry,medium,1,0,3,SLP-1031,Flat Urban / Town Center,0,0.32,Motorcycle involved in Overtaking incident at Mawanella Area,27.0,22.708571428571428,30.02285714285714,0.0,12.0,1011.0,11,7.3,0,0,none,2.0,0.0
KDG-0029,2021-11-02,17:28:44,Tuesday,0,17,Pahala Kadugannawa (Lower Pass),7.249826,80.499317,560,van,1,overtaking,34,male,10,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,11.0,dry,medium,1,0,4,SLP-1028,Steep Winding Road,0,0.44,Van involved in Overtaking incident at Pahala Kadugannawa (Lower Pass),27.0,22.708571428571428,30.02285714285714,0.0,12.0,1011.0,11,7.3,0,0,none,0.0,0.0
KDG-0033,2021-11-20,8:35:10,Saturday,1,8,Upper Kadugannawa Pass,7.25916,80.516245,620,motorcycle,1,excessive_speed,27,male,5,68,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,13.0,dry,medium,1,0,7,SLP-1032,Hairpin Bends / Steep Gradient,0,0.72,Motorcycle involved in Excessive Speed incident at Upper Kadugannawa Pass,27.0,22.708571428571428,30.02285714285714,0.0,12.0,1011.0,11,7.3,0,0,none,0.0,0.0
KDG-0034,2021-11-23,20:41:00,Tuesday,0,20,Pahala Kadugannawa (Lower Pass),7.248227,80.495449,560,motorcycle,1,excessive_speed,27,male,5,68,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,11.0,dry,medium,1,0,7,SLP-1033,Steep Winding Road,0,0.66,Motorcycle involved in Excessive Speed incident at Pahala Kadugannawa (Lower Pass),27.0,22.708571428571428,30.02285714285714,0.0,12.0,1011.0,11,7.3,0,0,none,0.0,0.0
KDG-0035,2021-11-23,20:41:00,Tuesday,0,20,Hingula / Ganethenna,7.249673,80.480838,520,bus,1,overtaking,43,male,16,68,60,1,clear,0.0,27.0,8.0,12.0,1011.0,mild,7.0,dry,medium,1,0,4,SLP-1034,Moderate Bends / Slope,0,0.4,Bus involved in Overtaking incident at Hingula / Ganethenna,27.0,22.708571428571428,30.02285714285714,0.0,12.0,1011.0,11,7.3,0,0,none,0.0,0.0
KDG-0036,2021-11-23,20:41:00,Tuesday,0,20,Hingula / Ganethenna,7.25121,80.466249,520,motorcycle,1,excessive_speed,27,male,5,78,60,1,clear,0.0,27.0,8.0,12.0,1011.0,mild,7.0,dry,medium,1,0,6,SLP-1035,Moderate Bends / Slope,0,0.6,Motorcycle involved in Excessive Speed incident at Hingula / Ganethenna,27.0,22.708571428571428,30.02285714285714,0.0,12.0,1011.0,11,7.3,0,0,none,0.0,0.0
KDG-0037,2021-11-23,20:41:00,Tuesday,0,20,Mawanella Area,7.253995,80.451197,470,motorcycle,1,excessive_speed,27,male,5,68,50,1,light_rain,2.0,26.0,4.0,15.0,1009.0,straight,1.0,wet,medium,1,0,6,SLP-1036,Flat Urban / Town Center,1,0.64,Motorcycle involved in Excessive Speed incident at Mawanella Area,26.0,22.708571428571428,30.02285714285714,2.0,15.0,1009.0,11,7.3,1,0,light,2.0,-2.0
KDG-0038,2021-12-01,9:14:46,Wednesday,0,9,Upper Kadugannawa Pass,7.256794,80.505292,620,motorcycle,1,slipped,27,male,5,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,13.0,wet,low,0,0,7,SLP-1037,Hairpin Bends / Steep Gradient,1,0.72,Motorcycle involved in Slipped incident at Upper Kadugannawa Pass,26.0,21.7136,29.484,2.0,15.0,1009.0,12,7.8,1,0,light,4.0,0.0
KDG-0039,2021-12-01,9:14:46,Wednesday,0,9,Pahala Kadugannawa (Lower Pass),7.254394,80.489824,560,van,1,overtaking,34,male,10,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,11.0,dry,medium,1,0,4,SLP-1038,Steep Winding Road,0,0.44,Van involved in Overtaking incident at Pahala Kadugannawa (Lower Pass),27.0,21.7136,29.484,0.0,12.0,1011.0,12,7.8,0,0,none,4.0,2.0
KDG-0040,2021-12-01,9:14:46,Wednesday,0,9,Hingula / Ganethenna,7.253164,80.475306,520,van,1,overtaking,34,male,10,68,60,1,clear,0.0,27.0,8.0,12.0,1011.0,mild,7.0,dry,low,0,0,4,SLP-1039,Moderate Bends / Slope,0,0.4,Van involved in Overtaking incident at Hingula / Ganethenna,27.0,21.7136,29.484,0.0,12.0,1011.0,12,7.8,0,0,none,2.0,0.0
KDG-0041,2021-12-01,9:14:46,Wednesday,0,9,Mawanella Area,7.252684,80.460613,470,van,1,slipped,34,male,10,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,straight,1.0,wet,low,0,0,5,SLP-1040,Flat Urban / Town Center,1,0.48,Van involved in Slipped incident at Mawanella Area,26.0,21.7136,29.484,2.0,15.0,1009.0,12,7.8,1,0,light,2.0,-2.0
KDG-0042,2021-12-01,9:14:46,Wednesday,0,9,Mawanella Area,7.248356,80.445501,470,van,1,slipped,34,male,10,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,straight,1.0,wet,low,0,0,5,SLP-1041,Flat Urban / Town Center,1,0.48,Van involved in Slipped incident at Mawanella Area,26.0,21.7136,29.484,2.0,15.0,1009.0,12,7.8,1,0,light,4.0,0.0
KDG-0043,2021-12-16,7:37:37,Thursday,0,7,Upper Kadugannawa Pass,7.258288,80.518608,620,lorry,1,brake_failure,40,male,14,53,50,1,heavy_rain,8.0,25.5,1.5,18.0,1007.0,sharp,13.0,very_wet,medium,1,0,10,SLP-1042,Hairpin Bends / Steep Gradient,1,0.96,Lorry involved in Brake Failure incident at Upper Kadugannawa Pass,25.5,21.7136,29.484,8.0,18.0,1007.0,12,7.8,1,1,heavy,12.0,-2.0
KDG-0046,2021-12-19,5:54:15,Sunday,1,5,Hingula / Ganethenna,7.246838,80.483984,520,motorcycle,1,overtaking,27,male,5,68,60,1,clear,0.0,27.0,8.0,12.0,1011.0,mild,7.0,dry,high,2,1,4,SLP-1045,Moderate Bends / Slope,0,0.4,Motorcycle involved in Overtaking incident at Hingula / Ganethenna,27.0,21.7136,29.484,0.0,12.0,1011.0,12,7.8,0,0,none,2.0,4.0
KDG-0045,2021-12-19,5:54:15,Sunday,1,5,Pahala Kadugannawa (Lower Pass),7.248232,80.498424,560,motorcycle,1,slipped,27,male,5,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,11.0,wet,high,2,1,7,SLP-1044,Steep Winding Road,1,0.66,Motorcycle involved in Slipped incident at Pahala Kadugannawa (Lower Pass),26.0,21.7136,29.484,2.0,15.0,1009.0,12,7.8,1,0,light,4.0,-2.0
KDG-0048,2021-12-19,5:54:15,Sunday,1,5,Mawanella Area,7.250625,80.454359,470,car,1,overtaking,36,male,11,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,straight,1.0,dry,high,2,1,3,SLP-1047,Flat Urban / Town Center,0,0.32,Car involved in Overtaking incident at Mawanella Area,27.0,21.7136,29.484,0.0,12.0,1011.0,12,7.8,0,0,none,10.0,2.0
KDG-0047,2021-12-19,5:54:15,Sunday,1,5,Hingula / Ganethenna,7.246779,80.469315,520,car,1,slipped,36,male,11,52,60,0,light_rain,2.0,26.0,4.0,15.0,1009.0,mild,7.0,wet,high,2,1,6,SLP-1046,Moderate Bends / Slope,1,0.6,Car involved in Slipped incident at Hingula / Ganethenna,26.0,21.7136,29.484,2.0,15.0,1009.0,12,7.8,1,0,light,10.0,-2.0
KDG-0044,2021-12-19,5:54:15,Sunday,1,5,Upper Kadugannawa Pass,7.251283,80.50931,620,car,1,excessive_speed,36,male,11,68,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,13.0,dry,high,2,1,7,SLP-1043,Hairpin Bends / Steep Gradient,0,0.72,Car involved in Excessive Speed incident at Upper Kadugannawa Pass,27.0,21.7136,29.484,0.0,12.0,1011.0,12,7.8,0,0,none,2.0,2.0
KDG-0049,2022-01-08,8:14:48,Saturday,1,8,Upper Kadugannawa Pass,7.259666,80.518337,620,motorcycle,1,excessive_speed,27,male,5,68,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,13.0,dry,medium,1,0,7,SLP-1048,Hairpin Bends / Steep Gradient,0,0.72,Motorcycle involved in Excessive Speed incident at Upper Kadugannawa Pass,27.0,22.74310344827586,29.849999999999998,0.0,12.0,1011.0,1,7.1,0,0,none,2.0,0.0
KDG-0050,2022-01-20,7:54:33,Thursday,0,7,Upper Kadugannawa Pass,7.259942,80.516886,620,car,1,slipped,36,male,11,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,13.0,wet,low,0,0,7,SLP-1049,Hairpin Bends / Steep Gradient,1,0.72,Car involved in Slipped incident at Upper Kadugannawa Pass,26.0,22.74310344827586,29.849999999999998,2.0,15.0,1009.0,1,7.1,1,0,light,2.0,-2.0
KDG-0053,2022-02-16,19:15:37,Wednesday,0,19,Hingula / Ganethenna,7.246571,80.469859,520,car,1,excessive_speed,36,male,11,78,60,1,clear,0.0,27.0,8.0,12.0,1011.0,mild,7.0,dry,low,0,0,6,SLP-1052,Moderate Bends / Slope,0,0.6,Car involved in Excessive Speed incident at Hingula / Ganethenna,27.0,22.646875,32.03125,0.0,12.0,1011.0,2,9.4,0,0,none,0.0,2.0
KDG-0054,2022-02-16,19:15:37,Wednesday,0,19,Mawanella Area,7.250005,80.454804,470,car,1,excessive_speed,36,male,11,68,50,1,clear,0.0,27.0,8.0,12.0,1011.0,straight,1.0,dry,low,0,0,5,SLP-1053,Flat Urban / Town Center,0,0.48,Car involved in Excessive Speed incident at Mawanella Area,27.0,22.646875,32.03125,0.0,12.0,1011.0,2,9.4,0,0,none,2.0,0.0
KDG-0051,2022-02-16,19:15:37,Wednesday,0,19,Pahala Kadugannawa (Lower Pass),7.248981,80.498877,560,motorcycle,1,overtaking,27,male,5,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,11.0,dry,low,0,0,4,SLP-1050,Steep Winding Road,0,0.44,Motorcycle involved in Overtaking incident at Pahala Kadugannawa (Lower Pass),27.0,22.646875,32.03125,0.0,12.0,1011.0,2,9.4,0,0,none,2.0,0.0
KDG-0052,2022-02-16,19:15:37,Wednesday,0,19,Hingula / Ganethenna,7.247006,80.484432,520,lorry,1,overtaking,40,male,14,68,60,1,clear,0.0,27.0,8.0,12.0,1011.0,mild,7.0,dry,low,0,0,4,SLP-1051,Moderate Bends / Slope,0,0.4,Lorry involved in Overtaking incident at Hingula / Ganethenna,27.0,22.646875,32.03125,0.0,12.0,1011.0,2,9.4,0,0,none,0.0,0.0
KDG-0055,2022-04-06,8:52:43,Wednesday,0,8,Upper Kadugannawa Pass,7.250269,80.510901,620,pick-up,1,animal_crossing,35,male,10,50,50,0,clear,0.0,27.0,8.0,12.0,1011.0,sharp,13.0,dry,medium,1,0,5,SLP-1054,Hairpin Bends / Steep Gradient,0,0.48,Pick-up involved in Animal Crossing incident at Upper Kadugannawa Pass,27.0,23.985714285714284,33.99047619047619,0.0,12.0,1011.0,4,10.0,0,0,none,0.0,0.0
KDG-0057,2022-04-14,19:15:37,Thursday,0,19,Pahala Kadugannawa (Lower Pass),7.253579,80.488965,560,motorcycle,1,excessive_speed,27,male,5,68,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,11.0,dry,high,2,1,7,SLP-1056,Steep Winding Road,0,0.66,Motorcycle involved in Excessive Speed incident at Pahala Kadugannawa (Lower Pass),27.0,23.985714285714284,33.99047619047619,0.0,12.0,1011.0,4,10.0,0,0,none,2.0,0.0
KDG-0059,2022-04-14,19:15:37,Thursday,0,19,Mawanella Area,7.251141,80.459567,470,car,1,slipped,36,male,11,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,straight,1.0,wet,high,2,1,5,SLP-1058,Flat Urban / Town Center,1,0.48,Car involved in Slipped incident at Mawanella Area,26.0,23.985714285714284,33.99047619047619,2.0,15.0,1009.0,4,10.0,1,0,light,4.0,-2.0
KDG-0056,2022-04-14,19:10:44,Thursday,0,19,Upper Kadugannawa Pass,7.254823,80.501908,620,motorcycle,1,excessive_speed,27,male,5,68,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,13.0,dry,medium,1,0,7,SLP-1055,Hairpin Bends / Steep Gradient,0,0.72,Motorcycle involved in Excessive Speed incident at Upper Kadugannawa Pass,27.0,23.985714285714284,33.99047619047619,0.0,12.0,1011.0,4,10.0,0,0,none,2.0,2.0
